Name,Strings,Size,Start Addrs,Notes,
hl_0_00006C.cndy,20,128,0xF0,,
hl_1_00071C.cndy,3,36,0x40,,
hl_2_1AFC84.cndy,3,48,0x4C,,
hl_3_1B0FE0.cndy,3,36,0x40,,
hl_4_28C2E8.cndy,3,48,0x4C,,
hl_5_28CC44.cndy,67,1212,0x618,error,My Room
hl_6_49B644.cndy,10,224,0x120,,
hl_7_49CB90.cndy,3,36,0x40,,
hl_8_5D0F1C.cndy,38,520,0x2D4,error,
hl_9_5D815C.cndy,3,36,0x40,,
hl_10_913CB0.cndy,26,520,0x298,error,
hl_11_918530.cndy,3,36,0x40,,
hl_12_B57508.cndy,70,1304,0x684,error,
hl_13_B61AF0.cndy,3,36,0x40,,
hl_14_CE6B0C.cndy,2,24,0x30,,
hl_15_CE6C24.cndy,78,1308,0x6B0,error,
hl_16_E85034.cndy,54,880,0x48C,error,
hl_17_E8D560.cndy,3,36,0x40,,
hl_18_10AF848.cndy,28,384,0x218,,
hl_19_10B3520.cndy,32,432,0x25C,error,
hl_20_11DD4DC.cndy,12,176,0xF8,,
hl_22_12DECD8.cndy,6,88,0x84,,
hl_23_12DF3FC.cndy,38,756,0x3C0,,
hl_24_14114B8.cndy,13,176,0x100,,
hl_25_1411AE4.cndy,7,100,0x94,,
hl_26_150F358.cndy,19,328,0x1B4,,
hl_27_1511F10.cndy,6,80,0x7C,,
hl_28_162BA68.cndy,26,460,0x25C,,
hl_29_162E868.cndy,20,268,0x17C,error,
hl_30_177CB1C.cndy,24,412,0x220,error,
hl_31_177F214.cndy,43,900,0x468,error,
hl_32_1960648.cndy,55,864,0x480,error,
hl_33_1963D34.cndy,42,660,0x374,,
hl_34_1B3D090.cndy,42,640,0x360,,
hl_35_1B3FDE4.cndy,3,36,0x40,,
hl_37_1D09A68.cndy,36,568,0x2F8,,
hl_38_1E86B2C.cndy,2,24,0x30,,
hl_39_1E86C44.cndy,32,496,0x29C,,
hl_40_1F57A30.cndy,2,24,0x30,,
hl_41_1F57B48.cndy,26,488,0x278,,
hl_42_1FFAD48.cndy,45,652,0x37C,,
hl_43_1FFD6B4.cndy,3,36,0x40,,
hl_44_22389E8.cndy,2,32,0x38,,
hl_45_2238D4C.cndy,24,324,0x1C8,,
hl_46_2379464.cndy,25,340,0x1E0,,
hl_47_237A4B8.cndy,24,324,0x1C8,,
hl_48_24FA688.cndy,18,252,0x164,,
hl_49_24FBA7C.cndy,31,432,0x258,,
hl_50_25AF9D0.cndy,15,228,0x13C,error,
hl_51_25B1CE4.cndy,29,352,0x200,,
hl_52_2655388.cndy,45,628,0x364,,
hl_53_2656DFC.cndy,43,600,0x33C,,
hl_54_2842FA4.cndy,23,316,0x1BC,,
hl_55_2843D98.cndy,63,904,0x4D0,,
hl_56_2AF2CE0.cndy,70,1140,0x5E0,,
hl_57_2AF7EA0.cndy,48,656,0x38C,,
hl_58_2D780E0.cndy,15,296,0x180,,
hl_59_2D7A3D4.cndy,28,356,0x1FC,error,
hl_60_2EE10C4.cndy,43,668,0x380,error,
hl_61_2EE4550.cndy,44,812,0x414,,
hl_62_31B95A4.cndy,35,484,0x2A0,,
hl_63_31BAB04.cndy,64,980,0x520,,
hl_64_32F3EA4.cndy,34,480,0x298,,
hl_65_32F529C.cndy,62,960,0x504,,
hl_66_34E2230.cndy,65,972,0x520,,
hl_67_34E4904.cndy,75,1156,0x608,,
hl_68_374D4C8.cndy,23,396,0x20C,,
hl_69_374F1D0.cndy,50,908,0x494,,
hl_70_3959AB4.cndy,2,24,0x30,,
hl_71_3959BCC.cndy,127,1896,0x9F0,,
hl_72_3C03D48.cndy,2,24,0x30,,
hl_73_3C03E60.cndy,96,1424,0x77C,,
hl_74_3ECFCC8.cndy,108,1432,0x7C0,error,
hl_75_3EDF1D8.cndy,3,36,0x40,,
hl_76_40831D4.cndy,2,24,0x30,,
hl_77_40832EC.cndy,168,2600,0xD7C,error,
hl_78_42574CC.cndy,25,316,0x1C8,,
hl_79_4259960.cndy,22,288,0x19C,error,
hl_80_4340EEC.cndy,7,68,0x74,,
hl_82_440542C.cndy,20,252,0x16C,,
hl_83_44076DC.cndy,28,364,0x204,,
hl_84_4502CCC.cndy,7,80,0x80,,
hl_85_4504588.cndy,21,300,0x1A4,error,
hl_86_45F3F54.cndy,26,516,0x294,error,
hl_87_45F9318.cndy,21,340,0x1CC,,
hl_88_46D339C.cndy,8,136,0xBC,,
hl_89_46D459C.cndy,8,116,0xA8,,
hl_90_47E0170.cndy,14,252,0x150,,
hl_91_47E1EDC.cndy,9,124,0xB8,,
hl_92_48BA07C.cndy,18,176,0x118,,
hl_93_48BC144.cndy,7,88,0x88,,
hl_94_49B6FF0.cndy,4,36,0x44,,
hl_95_49B780C.cndy,11,140,0xD0,,
hl_96_4B29930.cndy,14,244,0x148,error,
hl_97_4B2C4D0.cndy,9,116,0xB0,,
hl_98_4C18D3C.cndy,61,1012,0x534,,
hl_100_4DD7260.cndy,4,64,0x60,,
hl_102_4EC562C.cndy,9,188,0xF8,,
hl_104_500BA18.cndy,37,532,0x2DC,,
hl_105_500D178.cndy,27,392,0x21C,,
hl_106_513CFB4.cndy,2,24,0x30,,
hl_107_513D0CC.cndy,42,664,0x378,,
hl_109_5285AEC.cndy,6,72,0x74,,
hl_110_52D8494.cndy,37,532,0x2DC,,
hl_111_52D9E38.cndy,27,392,0x21C,,
hl_112_53CA4D8.cndy,28,440,0x250,,
hl_113_53CCAC8.cndy,35,488,0x2A4,error,
hl_114_552958C.cndy,25,412,0x228,error,
hl_115_552BFE0.cndy,47,788,0x40C,,
hl_116_56228D4.cndy,102,1820,0x88F8,error,
hl_117_56335E8.cndy,3,36,0x40,,
hl_118_58B2A10.cndy,2,24,0x30,,
hl_119_58B2B28.cndy,124,1744,0x948,error,
hl_120_5AC06E0.cndy,30,532,0x2B8,,
hl_121_5AC4C58.cndy,6,80,0x7C,,
hl_122_5B7001C.cndy,4,48,0x50,,
hl_123_5B70AC8.cndy,6,72,0x74,,
hl_124_5C29E74.cndy,22,280,0x194,,
hl_125_5C2C094.cndy,29,376,0x218,,
hl_126_5CE43BC.cndy,4,48,0x50,,
hl_127_5CE4D6C.cndy,18,292,0x18C,,
hl_128_5DA62B8.cndy,14,200,0x11C,,
hl_129_5DA700C.cndy,20,268,0x17C,error,
hl_131_5E564B0.cndy,6,80,0x7C,,
hl_132_5EF3428.cndy,7,100,0x94,,
hl_133_5EF419C.cndy,4,56,0x58,,
hl_136_604ADE4.cndy,34,568,0x2F0,,
hl_137_604C8B8.cndy,9,100,0xA0,,
hl_140_6354D90.cndy,44,632,0x360,,
hl_141_63570F4.cndy,47,676,0x39C,,
hl_142_6413E0C.cndy,44,632,0x360,,
hl_143_64163A4.cndy,47,676,0x39C,,
hl_144_65130FC.cndy,44,632,0x360,,
hl_145_6515758.cndy,83,1332,0x6E0,,
hl_146_66AC038.cndy,46,708,0x3B8,error,
hl_147_66AE5C8.cndy,127,2052,0xA8C,,
hl_148_6819E60.cndy,2,24,0x30,,
hl_149_6819F78.cndy,49,744,0x3EC,error,
hl_150_699F884.cndy,2,24,0x30,,
hl_151_699F99C.cndy,48,732,0x3D8,error,
hl_152_6B319B0.cndy,2,24,0x30,,
hl_153_6B31AC8.cndy,54,820,0x450,error,
hl_154_6CF4AD8.cndy,2,24,0x30,,
hl_155_6CF4BF0.cndy,71,1256,0x658,error,
hl_156_6E41CC0.cndy,43,608,0x344,,
hl_157_6E439B8.cndy,52,884,0x484,,
hl_158_7065680.cndy,22,372,0x1F0,,
hl_159_7069EB8.cndy,41,872,0x444,,
hl_160_714E1A4.cndy,65,1132,0x5C0,error,
hl_161_715B79C.cndy,3,36,0x40,,
hl_162_7362358.cndy,2,24,0x30,,
hl_163_7362470.cndy,100,1532,0x7FC,error,
hl_164_75AB924.cndy,29,416,0x240,,
hl_165_75AE5E8.cndy,32,440,0x264,,
hl_166_76BAFD0.cndy,31,524,0x2B4,,
hl_167_76BEB38.cndy,20,256,0x170,,
hl_168_77BEBA4.cndy,11,168,0xEC,,
hl_169_77BF8F4.cndy,17,360,0x1CC,,
hl_170_78A57CC.cndy,24,512,0x284,,
hl_172_797AD44.cndy,10,172,0xEC,,
hl_173_797BB3C.cndy,7,76,0x7C,,
hl_174_7A485DC.cndy,9,152,0xD4,,
hl_175_7A49214.cndy,16,336,0x1AC,,
hl_176_7B09B28.cndy,42,584,0x328,,
hl_177_7B0B708.cndy,3,36,0x40,,
hl_178_7D3E53C.cndy,61,872,0x4A8,,
hl_179_7D41A20.cndy,3,36,0x40,,
hl_180_7F5E1E8.cndy,46,672,0x394,,
hl_181_7F5FEA4.cndy,3,36,0x40,,
hl_182_80B87F8.cndy,46,672,0x394,,
hl_183_80BA568.cndy,3,36,0x40,,
hl_184_82A8010.cndy,98,1448,0x7A0,,
hl_185_82B5D04.cndy,3,36,0x40,,
hl_186_8425134.cndy,2,24,0x30,,
hl_187_842524C.cndy,123,1828,0x998,error,
hl_188_860ACF8.cndy,79,1376,0x6F8,error,
hl_189_8616DAC.cndy,3,36,0x40,,
hl_190_888C708.cndy,2,24,0x30,,
hl_191_888C820.cndy,189,3236,0x1064,error,
hl_192_8AFB6DC.cndy,21,260,0x17C,,
hl_193_8AFD7B8.cndy,31,436,0x25C,error,
hl_194_8C37794.cndy,16,228,0x140,,
hl_195_8C38980.cndy,67,1244,0x638,error,
hl_196_8CD37A0.cndy,3,36,0x40,,
hl_197_8CD3F70.cndy,52,944,0x4C0,,
hl_198_8E10824.cndy,29,676,0x344,,
hl_200_8F39344.cndy,3,36,0x40,,
hl_201_8F39740.cndy,17,296,0x18C,,
hl_202_908B3BC.cndy,3,36,0x40,,
hl_203_908BC24.cndy,9,124,0xB8,,
hl_204_91BC02C.cndy,3,36,0x40,,
hl_205_91BCACC.cndy,7,108,0x9C,,
hl_206_92DF3F4.cndy,3,32,0x3C,,
hl_207_92DFC50.cndy,7,96,0x90,,
hl_208_943576C.cndy,3,36,0x40,,
hl_209_94360E0.cndy,50,836,0x44C,,
hl_210_964006C.cndy,71,1080,0x5A8,error,
hl_211_964C22C.cndy,95,1968,0x998,,
hl_212_9816D30.cndy,2,24,0x30,,
hl_213_9816E48.cndy,39,660,0x364,,
hl_214_9924868.cndy,47,772,0x3FC,,
hl_215_99274B0.cndy,118,2132,0xAB0,error,
hl_216_9C130B8.cndy,44,760,0x3E0,error,
hl_217_9C16298.cndy,110,1704,0x8DC,,
hl_218_9D93540.cndy,37,516,0x2CC,error,
hl_219_9D95924.cndy,93,1448,0x788,,
hl_220_9F3E904.cndy,25,480,0x26C,error,
hl_221_9F42068.cndy,31,560,0x2D8,,
hl_222_A1893B0.cndy,29,324,0x1E4,error,
hl_223_A18C860.cndy,3,36,0x40,,
hl_224_A33611C.cndy,6,112,0x9C,,
hl_225_A3365D8.cndy,3,36,0x40,,
hl_226_A3E9454.cndy,16,316,0x198,,
hl_227_A3EB80C.cndy,13,180,0x104,,
hl_229_A57C29C.cndy,3,32,0x3C,,
hl_230_A6165CC.cndy,41,872,0x444,error,
hl_231_A61D1EC.cndy,3,36,0x40,,
hl_232_A80CE84.cndy,10,108,0xAC,,
hl_233_A80DD40.cndy,3,36,0x40,,
hl_234_A9031DC.cndy,2,24,0x30,,
hl_235_A9032F4.cndy,193,2948,0xF58,,
hl_236_AAC5A3C.cndy,57,780,0x438,,
hl_237_AAC9084.cndy,3,36,0x40,,
hl_238_AC93A08.cndy,36,508,0x2BC,,
hl_239_AC958C8.cndy,121,2096,0xA9C,,
hl_240_ADE81DC.cndy,62,928,0x4E4,,
hl_241_ADEB484.cndy,33,448,0x274,,
hl_242_AEF0DF8.cndy,35,540,0x2D8,,
hl_243_AEF21B8.cndy,133,2360,0xBE0,error,
hl_244_B20FCE0.cndy,99,1452,0x7A8,,
hl_245_B213D38.cndy,141,2292,0xBC4,,
hl_246_B410024.cndy,100,1460,0x7B4,,
hl_247_B414160.cndy,130,2160,0xB08,,
hl_248_B6A8734.cndy,109,1580,0x85C,,
hl_249_B6ACC80.cndy,134,2136,0xB04,,
hl_250_B91F218.cndy,107,1540,0x828,,
hl_251_B9231D4.cndy,122,1776,0x960,,
hl_252_BAB6A28.cndy,28,524,0x2A4,error,
hl_253_BABADC0.cndy,55,924,0x4BC,error,
hl_254_BDF1BFC.cndy,2,24,0x30,,
hl_255_BDF1D14.cndy,17,216,0x13C,,
hl_256_BF3F154.cndy,40,556,0x300,,
hl_257_BF40A10.cndy,133,1932,0xA34,,
hl_258_C25200C.cndy,52,748,0x3FC,,
hl_259_C253D00.cndy,108,1640,0x890,,
hl_260_C4301E8.cndy,2,24,0x30,,
hl_261_C430300.cndy,31,432,0x258,,
hl_262_C5C1EB0.cndy,2,24,0x30,,
hl_263_C5C1FC8.cndy,57,812,0x458,,
hl_264_C7EFE70.cndy,2,24,0x30,,
hl_265_C7EFF88.cndy,53,728,0x3F0,,
hl_266_C97EFC8.cndy,2,24,0x30,,
hl_267_C97F0E0.cndy,215,3636,0x1274,error,
hl_268_CB55664.cndy,2,24,0x30,,
hl_269_CB5577C.cndy,176,2660,0xDE0,error,
hl_270_CDA5740.cndy,2,24,0x30,,
hl_271_CDA5858.cndy,49,868,0x468,,
hl_272_CF47888.cndy,2,24,0x30,,
hl_273_CF479A0.cndy,49,956,0x4C0,,
hl_274_CFAD874.cndy,2,24,0x30,,
hl_275_CFAD98C.cndy,43,652,0x370,error,
hl_276_D07F77C.cndy,2,24,0x30,,
hl_277_D07F894.cndy,147,2216,0xB94,error,
hl_278_D228010.cndy,2,24,0x30,,
hl_279_D228128.cndy,199,3012,0xFB4,error,
hl_280_D53C8A8.cndy,2,24,0x30,,
hl_281_D53C9C0.cndy,3,36,0x40,,
hl_282_D6C3DB8.cndy,2,24,0x30,,
hl_283_D6C3ED0.cndy,42,776,0x3E8,error,
hl_284_D857FC8.cndy,2,24,0x30,,
hl_285_D8580E0.cndy,51,720,0x3DC,,
hl_286_DA18668.cndy,2,24,0x30,,
hl_287_DA18780.cndy,59,800,0x454,,
hl_288_DCC7D30.cndy,2,24,0x30,,
hl_289_DCC7E48.cndy,88,1328,0x6F4,error,
hl_290_DF9C624.cndy,2,24,0x30,,
hl_291_DF9C73C.cndy,139,2452,0xC58,,
hl_292_E22D1E4.cndy,2,24,0x30,,
hl_293_E22D2FC.cndy,58,824,0x468,,
hl_294_E3C441C.cndy,2,24,0x30,,
hl_295_E3C4534.cndy,58,824,0x468,,
hl_296_E5F84F4.cndy,2,24,0x30,,
hl_297_E5F860C.cndy,85,1484,0x784,error,
hl_298_E8AA650.cndy,2,24,0x30,,
hl_299_E8AA768.cndy,95,1720,0x8A0,error,
hl_300_EB7BDC4.cndy,2,24,0x30,,
hl_301_EB7BEDC.cndy,60,1168,0x5C8,,
hl_302_ECE3B34.cndy,2,24,0x30,,
hl_303_ECE3C4C.cndy,103,1612,0x85C,error,
hl_304_EF274F8.cndy,2,24,0x30,,
hl_305_EF27610.cndy,51,700,0x3C8,error,
hl_306_F1ED238.cndy,2,24,0x30,,
hl_307_F1ED350.cndy,109,1568,0x850,error,
hl_308_F4CCE50.cndy,2,24,0x30,,
hl_309_F4CCF68.cndy,181,2812,0xE94,error,
